,good,bad
31,Geppetto had a very bad temper.  Woe to the one whocalled him Polendina!  He became as wild as a beast andno one could soothe him.,Geppetto had a very bad temper.  Woe to the one whocalled him Polendina!  He bec
32,"""Good day, Mastro Antonio,"" said Geppetto.  ""Whatare you doing on the floor?""","""Good day, Mastro Antonio,"" said Geppetto.  ""Whatare y"
33,"""I am teaching the ants their A B C's.""","""I am tea"
34,"""Good luck to you!""","""Good "
35,"""What brought you here, friend Geppetto?""","""What brought yo"
36,"""My legs.  And it may flatter you to know, MastroAntonio, that I have come to you to beg for a favor.""","""My legs.  And it may flatter you to know, MastroAntonio, that I have come to "
37,"""Here I am, at your service,"" answered the carpenter,raising himself on to his knees.","""Here"
38,"""This morning a fine idea came to me.""","""T"
39,"""Let's hear it.""","""Let's"
40,"""I thought of making myself a beautiful woodenMarionette.  It must be wonderful, one that will be able todance, fence, and turn somersaults.  With it I intend to goaround the world, to earn my crust of bread and cup ofwine.  What do you think of it?""","""I thought of making myself a beautiful woodenMarionette.  It must be wonder"
41,"""Bravo, Polendina!"" cried the same tiny voice whichcame from no one knew where.","""Bravo, Polendina!"" cried the same tiny voice whichcame"
42,"On hearing himself called Polendina, Mastro Geppettoturned the color of a red pepper and, facing the carpenter,said to him angrily:","On hearing himself called Polendina, Mastro Geppettoturned the color of a red pepper and, facing the carpenter,said t"
43,"""Why do you insult me?""","""Wh"
44,"""Who is insulting you?""","""Who is in"
45,"""You called me Polendina.""","""You called me P"
46,"""I did not.""","""I did n"
47,"""I suppose you think _I_ did!  Yet I KNOW it was you.""","""I suppos"
48,"""No!""","""No!"
49,"""Yes!""",""""
50,"""No!""","""N"
51,"""Yes!""",""""
52,"And growing angrier each moment, they went fromwords to blows, and finally began to scratch and bite andslap each other.","And growing angrier each moment, they went fromwords to blows, and finally began to s"
53,"When the fight was over, Mastro Antonio had Geppetto'syellow wig in his hands and Geppetto found the carpenter'scurly wig in his mouth.","When the fight was over, Mastro Antonio had Geppetto'syellow wig in his hands and Geppetto f"
54,"""Give me back my wig!"" shouted Mastro Antonio in a surly voice.","""G"
55,"""You return mine and we'll be friends.""","""You return mine and we'll "
56,"The two little old men, each with his own wig back onhis own head, shook hands and swore to be good friendsfor the rest of their lives.","The two little old men, each with his own wig back onhis own head, shook hands and swore to be good friendsfor the rest "
57,"""Well then, Mastro Geppetto,"" said the carpenter, toshow he bore him no ill will, ""what is it you want?""","""Well then, Mastro Geppetto,"" said the carpenter, toshow he bore him no ill will, ""what i"
58,"""I want a piece of wood to make a Marionette.  Will you give it to me?""","""I want a piece of wood to make a Marionette.  Will you give it to "
59,"Mastro Antonio, very glad indeed, went immediatelyto his bench to get the piece of wood which had frightenedhim so much.  But as he was about to give it to his friend,with a violent jerk it slipped out of his hands and hitagainst poor Geppetto's thin legs.",Mastro Antonio
60,"""Ah!  Is this the gentle way, Mastro Antonio, in whichyou make your gifts?  You have made me almost lame!""","""Ah!  Is this the gentle way, M"
61,"""I swear to you I did not do it!""","""I swear to you I did no"
62,"""It was _I_, of course!""","""It was _I_, "
63,"""It's the fault of this piece of wood.""","""It's t"
64,"""You're right; but remember you were the one to throw it at my legs.""","""You're right; but remember you were the one to"
65,"""I did not throw it!""","""I did n"
66,"""Liar!""","""Liar!"
67,"""Geppetto, do not insult me or I shall call you Polendina.""","""Geppetto, do not insult me or I shall call you"
68,"""Idiot.""","""Idiot"
69,"""Polendina!""","""Polend"
70,"""Donkey!""","""Do"
71,"""Polendina!""","""Po"
72,"""Ugly monkey!""","""Ugly monkey!"
73,"""Polendina!""","""Polendina"
74,"On hearing himself called Polendina for the third time,Geppetto lost his head with rage and threw himself uponthe carpenter.  Then and there they gave each other asound thrashing.","On hearing himself called Polendina for the third time,Geppetto lost his head with rage and threw himself uponthe carpenter.  Then and there they gave each other asound thrashin"
75,"After this fight, Mastro Antonio had two more scratcheson his nose, and Geppetto had two buttons missing fromhis coat.  Thus having settled their accounts, they shookhands and swore to be good friends for the rest of their lives.","After this fight, Mastro Antonio had two more scratcheson his nose, and Geppetto had two button"
76,"Then Geppetto took the fine piece of wood,thanked Mastro Antonio, and limped away toward home.","Then Geppetto took the fine piece of wood,thanked M"
77,CHAPTER 3,CHA
78,"As soon as he gets home, Geppetto fashions the Marionetteand calls it Pinocchio.  The first pranks of the Marionette","As soon as he gets home, Geppetto fashions the Marionetteand calls it Pinocchio.  Th"
79,"Little as Geppetto's house was, it was neat andcomfortable.  It was a small room on the ground floor, with atiny window under the stairway.  The furniture could nothave been much simpler:  a very old chair, a rickety oldbed, and a tumble-down table.  A fireplace full of burninglogs was painted on the wall opposite the door.  Over thefire, there was painted a pot full of something which keptboiling happily away and sending up clouds of what lookedlike real steam.","Little as Geppetto's house was, it was neat andcomfortable.  It was a small room on the ground floor, with atiny window under the stairway.  The furniture could nothave been much simpler:  a very old chair, a rickety oldbed, and a tumble-down table.  A fireplace full of burninglogs was painted on the wall opposite the door.  Over thefire, there was painted a pot ful"
80,"As soon as he reached home, Geppetto took his toolsand began to cut and shape the wood into a Marionette.","As soon as he reached home, Geppetto took his toolsand b"
81,"""What shall I call him?"" he said to himself.  ""I thinkI'll call him PINOCCHIO.  This name will make his fortune.I knew a whole family of Pinocchi once--Pinocchio thefather, Pinocchia the mother, and Pinocchi the children--and they were all lucky.  The richest of them begged forhis living.""","""What shall I call him?"" he said to himself.  ""I thinkI'll call him PINOCCHIO.  Th"
82,"After choosing the name for his Marionette, Geppettoset seriously to work to make the hair, the forehead, theeyes.  Fancy his surprise when he noticed that these eyesmoved and then stared fixedly at him.  Geppetto, seeingthis, felt insulted and said in a grieved tone:","After choosing the name for his Marionette, Geppettoset seriously to work to make the hair, the forehead, theeyes.  Fancy his surprise when he noticed that these eyesmoved and then stared fixedly at him.  Geppetto, seeingthis, felt insulted and"
83,"""Ugly wooden eyes, why do you stare so?""","""Ug"
84,There was no answer.,The
85,"After the eyes, Geppetto made the nose, which beganto stretch as soon as finished.  It stretched and stretchedand stretched till it became so long, it seemed endless.","After the eyes, Geppetto made the nose, which beganto stretch as soon as finished.  It stretched a"
86,"Poor Geppetto kept cutting it and cutting it, but themore he cut, the longer grew that impertinent nose.  Indespair he let it alone.","Poor Geppetto kept cutting it and cutting it, but themore he cut, the longer gre"
87,Next he made the mouth.,Next he mad
88,No sooner was it finished than it began to laugh andpoke fun at him.,No sooner was
89,"""Stop laughing!"" said Geppetto angrily; but he mightas well have spoken to the wall.","""Stop laughing!"" s"
90,"""Stop laughing, I say!"" he roared in a voice of thunder.","""Stop laughing, I say!"" he roared in a voice of thu"
91,"The mouth stopped laughing, but it stuck out a long tongue.",The mouth stopp
92,"Not wishing to start an argument, Geppetto madebelieve he saw nothing and went on with his work.After the mouth, he made the chin, then the neck, theshoulders, the stomach, the arms, and the hands.",Not 
93,"As he was about to put the last touches on the fingertips, Geppetto felt his wig being pulled off.  He glancedup and what did he see?  His yellow wig was in the Marionette'shand.  ""Pinocchio, give me my wig!""","As he was about to put the last touches on the fingertips, Geppe"
94,"But instead of giving it back, Pinocchio put it on hisown head, which was half swallowed up in it.",But instead of 
95,"At that unexpected trick, Geppetto became very sadand downcast, more so than he had ever been before.","At that unexpected trick, Geppetto became very sadand downcast, more so tha"
96,"""Pinocchio, you wicked boy!"" he cried out.  ""You arenot yet finished, and you start out by being impudent toyour poor old father.  Very bad, my son, very bad!""","""Pinocchio, you wicked boy!"" he cried out.  ""You arenot yet finished, and you start out by being impudent toyour poor old father.  Very bad, "
97,And he wiped away a tear.,And
98,"The legs and feet still had to be made.  As soon as theywere done, Geppetto felt a sharp kick on the tip of his nose.",The legs and
99,"""I deserve it!"" he said to himself.  ""I should have thoughtof this before I made him.  Now it's too late!""","""I deserve it!"" he sa"
100,He took hold of the Marionette under the arms and puthim on the floor to teach him to walk.,He took hold of the Marionette
101,"Pinocchio's legs were so stiff that he could not movethem, and Geppetto held his hand and showed him how toput out one foot after the other.",P
102,"When his legs were limbered up, Pinocchio startedwalking by himself and ran all around the room.  He cameto the open door, and with one leap he was out into thestreet.  Away he flew!","When his legs were limbered up, Pinocchio startedwalking by himself and ran all around the room"
103,"Poor Geppetto ran after him but was unable to catchhim, for Pinocchio ran in leaps and bounds, his twowooden feet, as they beat on the stones of the street,making as much noise as twenty peasants in wooden shoes.","Poor Geppetto ran after him but was unable to catchhim, for Pinocchio ran in leaps and bounds, his t"
104,"""Catch him!  Catch him!"" Geppetto kept shouting.But the people in the street, seeing a wooden Marionetterunning like the wind, stood still to stare and to laughuntil they cried.","""Catch him!  Catch him!"" Geppetto kept shouting.But the people in the street, seeing a wooden Marionetterunning like the wi"
105,"At last, by sheer luck, a Carabineer[2] happenedalong, who, hearing all that noise, thought that it mightbe a runaway colt, and stood bravely in the middle of thestreet, with legs wide apart, firmly resolved to stop it andprevent any trouble.","At last, by sheer luck, a Carabineer[2] happenedalong, who, hearing all that noise, thought that it mightbe a runaway colt, and stood bravely in the middle of thestreet, with "
106,[2] A military policeman,[2] A mili
107,"Pinocchio saw the Carabineer from afar and tried hisbest to escape between the legs of the big fellow, butwithout success.",Pinocchio saw the Carabineer from 
108,The Carabineer grabbed him by the nose (it was anextremely long one and seemed made on purpose for thatvery thing) and returned him to Mastro Geppetto.,The Carabineer grabbed him
109,"The little old man wanted to pull Pinocchio's ears.Think how he felt when, upon searching for them, hediscovered that he had forgotten to make them!",The little old man wanted to 
110,"All he could do was to seize Pinocchio by the back ofthe neck and take him home.  As he was doing so, he shookhim two or three times and said to him angrily:",All he could do was to seize Pinocchio 
111,"""We're going home now.  When we get home,then we'll settle this matter!""","""We're going home now.  When we get home,then we'll settl"
112,"Pinocchio, on hearing this, threw himself on the groundand refused to take another step.  One person after anothergathered around the two.","Pinocchio, on hearing this, threw h"
113,"Some said one thing, some another.",Some
114,"""Poor Marionette,"" called out a man.  ""I am notsurprised he doesn't want to go home.  Geppetto, no doubt,will beat him unmercifully, he is so mean and cruel!""","""Poor Marionette,"" called out a man.  ""I am notsurprised he doesn't want to go home.  Geppetto, no doubt,will beat him unmercifully, he is so mea"
115,"""Geppetto looks like a good man,"" added another, ""butwith boys he's a real tyrant.  If we leave that poorMarionette in his hands he may tear him to pieces!""","""Geppetto looks like a good man,"" added another, ""butwith boys he's a real tyrant.  If we leave that poorMarionette in his ha"
116,"They said so much that, finally, the Carabineer endedmatters by setting Pinocchio at liberty and draggingGeppetto to prison.  The poor old fellow did not know how todefend himself, but wept and wailed like a child and saidbetween his sobs:","They said so much that, finally, the Carabineer endedmatters by setting Pinocchio at liberty and draggingGeppetto to prison.  The poor old fellow did not know how "
117,"""Ungrateful boy!  To think I tried so hard to make youa well-behaved Marionette!  I deserve it, however!  I shouldhave given the matter more thought.""","""Ungrateful boy!  To think I tried so hard to make youa"
118,"What happened after this is an almost unbelievablestory, but you may read it, dear children, in the chaptersthat follow.","What happened after this is an almost unbelievablestory, but you may read it, dear children, in the chapte"
119,CHAPTER 4,CHA
120,"The story of Pinocchio and the Talking Cricket,in which one sees that bad children do not liketo be corrected by those who know more than they do","The story of Pinocchio and the Talking Cricket,in which one sees that bad children do not liketo be corrected "
121,"Very little time did it take to get poor old Geppetto toprison.  In the meantime that rascal, Pinocchio, free nowfrom the clutches of the Carabineer, was running wildlyacross fields and meadows, taking one short cut afteranother toward home.  In his wild flight, he leaped overbrambles and bushes, and across brooks and ponds, as ifhe were a goat or a hare chased by hounds.","Very little time did it take to get poor old Geppetto toprison.  In the meantime that rascal, Pinocchio, free nowfrom the clutches of the Carabineer, was running wildlyacross fields and meadows, taking one short cut afteranother toward home.  In his wild flight, he leaped overbrambles and bushes, and across brooks and "
122,"On reaching home, he found the house door half open.He slipped into the room, locked the door, and threwhimself on the floor, happy at his escape.","On reaching home, he found the house door half open.He slipped into the room"
123,"But his happiness lasted only a short time, for just thenhe heard someone saying:",But his happiness lasted only a shor
124,"""Cri-cri-cri!""","""Cri"
125,"""Who is calling me?"" asked Pinocchio, greatly frightened.","""Wh"
126,"""I am!""",""""
127,Pinocchio turned and saw a large cricket crawlingslowly up the wall.,Pinocchi
128,"""Tell me, Cricket, who are you?""","""Tell me, Cricket, who are "
129,"""I am the Talking Cricket and I have been living in thisroom for more than one hundred years.""","""I am the Talking Cricket and I have been living in thisroom fo"
130,"""Today, however, this room is mine,"" said the Marionette,""and if you wish to do me a favor, get out now, and don'tturn around even once.""","""Today, however, this room is mine,"" said the Marionette,""and if you wish to do me a favor, get out now, and d"
131,"""I refuse to leave this spot,"" answered the Cricket,""until I have told you a great truth.""","""I refuse to leave this spot,"" answered the Cricke"
132,"""Tell it, then, and hurry.""","""Tell it, the"
133,"""Woe to boys who refuse to obey their parents and runaway from home!  They will never be happy in this world,and when they are older they will be very sorry for it.""","""Woe to b"
134,"""Sing on, Cricket mine, as you please.  What I know is,that tomorrow, at dawn, I leave this place forever.  If Istay here the same thing will happen to me which happensto all other boys and girls.  They are sent to school, andwhether they want to or not, they must study.  As for me,let me tell you, I hate to study!  It's much more fun, I think,to chase after butterflies, climb trees, and steal birds' nests.""","""Sing on, Cricket mine, as you please.  What I know is,that tomorrow, at dawn, I leave this place forever.  If Istay here the same thing will happen to me which happensto all other boys an"
135,"""Poor little silly!  Don't you know that if you go on likethat, you will grow into a perfect donkey and that you'llbe the laughingstock of everyone?""","""Poor little silly!  Don't you know that if you go on likethat, you will grow into a perfect donkey and that you'llbe the laughingst"
136,"""Keep still, you ugly Cricket!"" cried Pinocchio.","""Keep still, you ugly Cricket!"" cri"
137,"But the Cricket, who was a wise old philosopher,instead of being offended at Pinocchio's impudence,continued in the same tone:","But the Cricket, who was a wise old philoso"
138,"""If you do not like going to school, why don't you atleast learn a trade, so that you can earn an honest living?""","""If you do not like going to school, why don't"
139,"""Shall I tell you something?"" asked Pinocchio, who wasbeginning to lose patience.  ""Of all the trades in the world,there is only one that really suits me.""","""Shall I tell you something?"" asked Pinocchio, who wasbeg"
140,"""And what can that be?""","""And wha"
141,"""That of eating, drinking, sleeping, playing, andwandering around from morning till night.""","""That of eating, drinking, sleeping, playing, andwandering a"
142,"""Let me tell you, for your own good, Pinocchio,"" saidthe Talking Cricket in his calm voice, ""that those whofollow that trade always end up in the hospital or in prison.""","""Let me tell you, for your own good, Pinocchio,"" saidthe Talking Cricket in his c"
143,"""Careful, ugly Cricket!  If you make me angry, you'll be sorry!""","""Careful, ugly Cricket!  If you m"
144,"""Poor Pinocchio, I am sorry for you.""","""Poor Pinocchio, I am sorry"
145,"""Why?""","""Why?"
146,"""Because you are a Marionette and, what is much worse,you have a wooden head.""","""Because you are a Marionette and, what is much worse,you have a wooden"
147,"At these last words, Pinocchio jumped up in a fury, tooka hammer from the bench, and threw it with all hisstrength at the Talking Cricket.","At these last words, Pinocchio jumped up in a fury, tooka hammer from the bench, and threw it with all hisstrength at the Talking Crick"
148,"Perhaps he did not think he would strike it.  But, sadto relate, my dear children, he did hit the Cricket, straighton its head.",Perhaps he did not think he woul
149,"With a last weak ""cri-cri-cri"" the poor Cricket fell fromthe wall, dead!",With 
150,CHAPTER 5,CHAPT
151,"Pinocchio is hungry and looks for an egg to cook himself an omelet;but, to his surprise, the omelet flies out of the window","Pinocchio is hungry and looks for an egg to cook himself an omelet;but, to "
152,"If the Cricket's death scared Pinocchio at all, it was onlyfor a very few moments.  For, as night came on, a queer,empty feeling at the pit of his stomach reminded theMarionette that he had eaten nothing as yet.","If the Cricket's death scared Pinocchio at all, it was onlyfor a very few moments.  For, as night came on, a q"
153,"A boy's appetite grows very fast, and in a few momentsthe queer, empty feeling had become hunger, and thehunger grew bigger and bigger, until soon he was asravenous as a bear.","A boy's appetite grows very fast, and in a few momentsthe queer, empty feeling had become hu"
154,"Poor Pinocchio ran to the fireplace where the pot wasboiling and stretched out his hand to take the cover off,but to his amazement the pot was only painted!  Think howhe felt!  His long nose became at least two inches longer.",Poor Pinocchio ran to the fireplace where the pot wasboiling and stretched out his 
155,"He ran about the room, dug in all the boxes and drawers,and even looked under the bed in search of a piece of bread,hard though it might be, or a cookie, or perhaps a bit of fish.A bone left by a dog would have tasted good to him!But he found nothing.","He ran about the room, dug in all the box"
156,"And meanwhile his hunger grew and grew.  The onlyrelief poor Pinocchio had was to yawn; and he certainlydid yawn, such a big yawn that his mouth stretchedout to the tips of his ears.  Soon he became dizzy and faint.He wept and wailed to himself:  ""The Talking Cricketwas right.  It was wrong of me to disobey Father and torun away from home.  If he were here now, I wouldn't beso hungry!  Oh, how horrible it is to be hungry!""","And meanwhile his hunger grew and grew.  The onlyrelief poor Pinocchio had was to yawn; and he certainlydid yawn,"
157,"Suddenly, he saw, among the sweepings in a corner,something round and white that looked very much like ahen's egg.  In a jiffy he pounced upon it.  It was an egg.","Suddenly, he saw, among the sweepings in a corner,"
158,"The Marionette's joy knew no bounds.  It is impossibleto describe it, you must picture it to yourself.  Certain thathe was dreaming, he turned the egg over and over in hishands, fondled it, kissed it, and talked to it:",The Marionette
159,"""And now, how shall I cook you?  Shall I make anomelet?  No, it is better to fry you in a pan!Or shall I drink you?  No, the best way is tofry you in the pan.  You will taste better.""","""And now, how shall I cook you?  Shall I make anomelet?  No, it is better to fry you in a p"
160,"No sooner said than done.  He placed a little pan over afoot warmer full of hot coals.  In the pan, instead of oil orbutter, he poured a little water.  As soon as the waterstarted to boil--tac!--he broke the eggshell.  But in placeof the white and the yolk of the egg, a little yellow Chick,fluffy and gay and smiling, escaped from it.  Bowingpolitely to Pinocchio, he said to him:","No sooner said than done.  He placed a little pan over afoot warmer full of hot coals.  In the pan, instead of oil or"
161,"""Many, many thanks, indeed, Mr. Pinocchio, for havingsaved me the trouble of breaking my shell!  Good-byand good luck to you and remember me to the family!""","""Many, many thanks, indeed, Mr. Pinocchio, for havingsaved me the trouble of breaking my shell!  Good-byan"
162,"With these words he spread out his wings and, dartingto the open window, he flew away into space till he wasout of sight.",With these words he spread out his win
163,"The poor Marionette stood as if turned to stone, withwide eyes, open mouth, and the empty halves of the egg-shell in his hands.  When he came to himself, he began tocry and shriek at the top of his lungs, stamping his feet onthe ground and wailing all the while:","The poor Marionette stood as if turned to stone, withwide eyes, open mouth, and the empty halves of the egg-shell in his hands.  When he came to himself, he be"
164,"""The Talking Cricket was right!  If I had not run awayfrom home and if Father were here now, I should not bedying of hunger.  Oh, how horrible it is to be hungry!""","""The Talking Cricket was right!  If I had not run awayfrom home and if Father were here now, I should not bedying of hunger.  Oh, how horrible "
165,"And as his stomach kept grumbling more than ever andhe had nothing to quiet it with, he thought of going outfor a walk to the near-by village, in the hope of findingsome charitable person who might give him a bit of bread.","And as his stomach kept grumbling more than ever andhe had nothing to quiet it with, he thought of going outfor a walk to the near-by village, in the hope of findingsome charitable perso"
166,CHAPTER 6,C
167,"Pinocchio falls asleep with his feet on a foot warmer,and awakens the next day with his feet all burned off","Pinocchio falls asleep with his feet on a foot warmer,and awakens the next day w"
168,"Pinocchio hated the dark street, but he was so hungrythat, in spite of it, he ran out of the house.  The night waspitch black.  It thundered, and bright flashes of lightningnow and again shot across the sky, turning it into a sea offire.  An angry wind blew cold and raised dense clouds ofdust, while the trees shook and moaned in a weird way.","Pinocchio hated the dark street, but he w"
169,"Pinocchio was greatly afraid of thunder and lightning,but the hunger he felt was far greater than his fear.  In adozen leaps and bounds, he came to the village, tired out,puffing like a whale, and with tongue hanging.",Pinocchio was greatly af
170,"The whole village was dark and deserted.  The storeswere closed, the doors, the windows.  In the streets, noteven a dog could be seen.  It seemed the Village of theDead.",The whole villag
171,"Pinocchio, in desperation, ran up to a doorway, threwhimself upon the bell, and pulled it wildly, saying to himself:""Someone will surely answer that!""","Pinocchio, in desperation, ran up to a doorway, threwhimself upon the bell, and pulled it wildly, saying to himself:""Someone wil"
172,He was right.  An old man in a nightcap opened thewindow and looked out.  He called down angrily:,He was right.  An old man in a nightcap opened thewindow a
173,"""What do you want at this hour of night?""","""What "
174,"""Will you be good enough to give me a bit of bread?I am hungry.""","""Will you be good enoug"
175,"""Wait a minute and I'll come right back,"" answered theold fellow, thinking he had to deal with one of those boyswho love to roam around at night ringing people's bellswhile they are peacefully asleep.","""Wait a minute and I'll come right back,"" answered theo"
176,"After a minute or two, the same voice cried:","After a minute or two, the"
177,"""Get under the window and hold out your hat!""","""Get u"
178,"Pinocchio had no hat, but he managed to get under thewindow just in time to feel a shower of ice-cold waterpour down on his poor wooden head, his shoulders, andover his whole body.","Pinocchio had no hat, but he managed to get under thewindow just in time to feel a shower of ice-cold waterpour down on his poor"
179,"He returned home as wet as a rag, and tired out fromweariness and hunger.",He 
180,"As he no longer had any strength left with which tostand, he sat down on a little stool and put his two feet onthe stove to dry them.",As he no longer had any strength left with which tostan
181,"There he fell asleep, and while he slept, his woodenfeet began to burn.  Slowly, very slowly, they blackenedand turned to ashes.","There he fell asleep,"
182,Pinocchio snored away happily as if his feet were nothis own.  At dawn he opened his eyes just as a loud knockingsounded at the door.,Pinocchio snored away happily as if his feet were nothis own.  At dawn he opened his eyes just as a loud knockingsounded 
183,"""Who is it?"" he called, yawning and rubbing his eyes.","""Who is it?"" he called, yawning and r"
184,"""It is I,"" answered a voice.","""It is I,"" answered"
185,It was the voice of Geppetto.,I
186,CHAPTER 7,CHAPTE
187,Geppetto returns home and giveshis own breakfast to the Marionette,Geppetto returns home and giveshis own b
188,"The poor Marionette, who was still half asleep, had notyet found out that his two feet were burned and gone.  Assoon as he heard his Father's voice, he jumped up from hisseat to open the door, but, as he did so, he staggered andfell headlong to the floor.","The poor Marionette, who was still half asleep, had notyet found out that his two feet were burned and gone.  Assoon as he heard his Father's voice, he jumped up from hisseat to open the door, but, as he did so, he sta"
189,"In falling, he made as much noise as a sack of woodfalling from the fifth story of a house.","In falling, he made as much noise as a sack of woodfalling from the fifth story "
190,"""Open the door for me!"" Geppetto shouted from the street.","""Open the door for m"
191,"""Father, dear Father, I can't,"" answered the Marionettein despair, crying and rolling on the floor.","""Father"
192,"""Why can't you?""","""Wh"
193,"""Because someone has eaten my feet.""","""Because someone has eaten my feet"
194,"""And who has eaten them?""","""And who has eaten them"
195,"""The cat,"" answered Pinocchio, seeing that little animalbusily playing with some shavings in the corner of the room.","""The cat,"" answered "
196,"""Open!  I say,"" repeated Geppetto, ""or I'll give you asound whipping when I get in.""","""Open!  I say,"" repeated Geppetto, ""or I'll give you asound whipping when I"
197,"""Father, believe me, I can't stand up.  Oh, dear!Oh, dear!  I shall have to walk on my knees all my life.""","""Father, believe me, I can't stand up.  Oh, dear!Oh, dear!  I shal"
198,"Geppetto, thinking that all these tears and cries wereonly other pranks of the Marionette, climbed up the sideof the house and went in through the window.","Geppetto, thinking that all these tears and cries we"
199,"At first he was very angry, but on seeing Pinocchiostretched out on the floor and really without feet, he feltvery sad and sorrowful.  Picking him up from the floor, hefondled and caressed him, talking to him while the tearsran down his cheeks:","At first he was very angry, but on seeing Pinocchiostretched out on the floor and really without feet, he feltvery sad and sorrowfu"
200,"""My little Pinocchio, my dear little Pinocchio!How did you burn your feet?""","""My little P"
